market,strategy_id,zero_close_count,ret_inf_count,strat_ret_clamp_count,cumret_clip_count,total_issues,quality_score
upbit_krw,SUPERTREND_TSMOM_30_ETH_GT_MA50_SIZING,0,0,0,0,0,1.0
upbit_krw,SUPERTREND_TSMOM_30_INDEX_GT_MA50_GATE,0,0,0,0,0,1.0
upbit_krw,SUPERTREND_TSMOM_30_INDEX_GT_MA50_SIZING,0,0,0,0,0,1.0
upbit_krw,SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_GATE,0,0,0,0,0,1.0
upbit_krw,SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_SIZING,0,0,0,0,0,1.0
upbit_krw,VIDYA_TSMOM_30_ETH_GT_MA50_GATE,0,0,0,0,0,1.0
upbit_krw,VIDYA_TSMOM_30_ETH_GT_MA50_SIZING,0,0,0,0,0,1.0
upbit_krw,VIDYA_TSMOM_30_SCORE_AVG_GT_1_SIZING,0,0,0,0,0,1.0
upbit_krw,VMA_TSMOM_30_ETH_GT_MA50_GATE,0,0,0,0,0,1.0
upbit_krw,VMA_TSMOM_30_ETH_GT_MA50_SIZING,0,0,0,0,0,1.0
upbit_krw,VMA_TSMOM_30_SCORE_AVG_GT_1_GATE,0,0,0,0,0,1.0
upbit_krw,VMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,0,0,0,0,0,1.0
